Salt (molecular weight g/mol),Nature (valency),Cation Radius (pm),Concentration,Height,Material,Loop Style,,,
36.46,1,0.00084,0.1,1,hBN,3,,,
36.46,1,0.00084,0.1,0.7,hBN,3,,,
36.46,1,0.00084,1,3.5,hBN,3,,,
36.46,1,0.00084,1,2,hBN,3,,,
36.46,1,0.00084,1,0.7,hBN,3,,,
36.46,1,0.00084,0.1,2,hBN,3,,,
42.39,1,76,3,0.67,hBN,3,,,
42.39,1,76,0.1,0.67,hBN,3,,,
42.39,1,76,1,0.67,hBN,3,,,
42.39,1,76,8,0.7,hBN,3,,,
42.39,1,76,1,4.4,hBN,3,,,
42.39,1,76,4,0.7,hBN,3,,,
42.39,1,76,0.1,2.7,hBN,3,,,
42.39,1,76,6,0.7,hBN,3,,,
42.39,1,76,0.1,0.67,hBN,4,,,
42.39,1,76,0.5,0.7,hBN,3,,,
42.39,1,76,2,0.7,hBN,3,,,
42.39,1,76,3,4.4,hBN,2,,,
42.39,1,76,1,1,hBN,3,,,
42.39,1,76,0.1,0.7,hBN,3,,,
42.39,1,76,3,2.7,hBN,3,,,
42.39,1,76,0.1,4.4,hBN,1,,,
42.39,1,76,1,0.7,hBN,3,,,
42.39,1,76,10,0.7,hBN,3,,,
42.39,1,76,1,2.7,hBN,3,,,
58.44,1,102,4,0.7,hBN,3,,,
58.44,1,102,0.01,0.7,hBN,1,,,
58.44,1,102,3,4.4,hBN,3,,,
58.44,1,102,0.1,0.67,hBN,2,,,
58.44,1,102,0.1,2.7,hBN,3,,,
58.44,1,102,0.5,0.7,hBN,3,,,
58.44,1,102,1,1,hBN,3,,,
58.44,1,102,1,0.7,hBN,3,,,
58.44,1,102,1,3.9,hBN,3,,,
58.44,1,102,0.1,4.4,hBN,1,,,
58.44,1,102,3,2.7,hBN,3,,,
58.44,1,102,3,0.7,hBN,3,,,
58.44,1,102,3,0.67,hBN,3,,,
58.44,1,102,1,2.7,hBN,3,,,
58.44,1,102,0.1,3.9,hBN,1,,,
58.44,1,102,5,0.7,hBN,3,,,
58.44,1,102,2,0.7,hBN,3,,,
58.44,1,102,0.1,0.7,hBN,1,,,
58.44,1,102,0.1,0.67,hBN,2,,,
58.44,1,102,1,0.67,hBN,3,,,
58.44,1,102,1,4.4,hBN,3,,,
58.44,1,102,6,0.7,hBN,3,,,
58.44,1,102,0.25,0.7,hBN,3,,,
74.55,1,138,3,1,hBN,3,,,
74.55,1,138,0.1,0.67,hBN,2,,,
74.55,1,138,0.1,0.7,hBN,3,,,
74.55,1,138,1,2,hBN,3,,,
74.55,1,138,1,4.4,hBN,3,,,
74.55,1,138,3,2,hBN,3,,,
74.55,1,138,3,1,hBN,3,,,
74.55,1,138,0.01,4.4,hBN,4,,,
74.55,1,138,3,2.7,hBN,3,,,
